benchmark,model,surface,run,n_common,n_scored,accuracy
metabench-arc,claude-sonnet,interface,run_0,143,143,0.986014
metabench-arc,claude-sonnet,api,run_1,143,143,1.0
metabench-arc,claude-sonnet,interface,run_1,143,143,0.993007
metabench-arc,claude-sonnet,api,run_2,145,145,0.993103
metabench-arc,claude-sonnet,interface,run_2,145,145,0.986207
metabench-arc,claude-sonnet,api,run_3,144,144,0.993056
metabench-arc,claude-sonnet,interface,run_3,144,144,0.986111
metabench-arc,claude-sonnet,api,run_4,145,145,0.993103
metabench-arc,claude-sonnet,interface,run_4,145,145,0.986207
metabench-arc,gemini-fast,api,run_0,143,143,0.986014
metabench-arc,gemini-fast,interface,run_0,143,143,0.993007
metabench-arc,gemini-fast,api,run_1,144,144,0.993056
metabench-arc,gemini-fast,interface,run_1,144,144,0.993056
metabench-arc,gemini-fast,api,run_2,145,145,0.993103
metabench-arc,gemini-fast,interface,run_2,145,145,0.993103
metabench-arc,gemini-fast,api,run_3,144,144,0.993056
metabench-arc,gemini-fast,interface,run_3,144,144,0.993056
metabench-arc,gemini-fast,api,run_4,144,144,0.986111
metabench-arc,gemini-fast,interface,run_4,144,144,0.979167
metabench-arc,gemini-thinking,api,run_0,143,143,0.993007
metabench-arc,gemini-thinking,interface,run_0,143,143,0.993007
metabench-arc,gemini-thinking,api,run_1,143,143,1.0
metabench-arc,gemini-thinking,interface,run_1,143,143,1.0
metabench-arc,gemini-thinking,api,run_2,144,144,0.993056
metabench-arc,gemini-thinking,interface,run_2,144,144,0.993056
metabench-arc,gemini-thinking,api,run_3,144,144,0.993056
metabench-arc,gemini-thinking,interface,run_3,144,144,0.986111
metabench-arc,gemini-thinking,api,run_4,145,145,0.993103
metabench-arc,gemini-thinking,interface,run_4,145,145,0.993103
metabench-gsm8k,chatgpt-instant,api,run_0,237,237,0.974684
metabench-gsm8k,chatgpt-instant,interface,run_0,237,237,0.945148
metabench-gsm8k,chatgpt-instant,api,run_1,236,236,0.983051
metabench-gsm8k,chatgpt-instant,interface,run_1,236,236,0.923729
metabench-gsm8k,chatgpt-instant,api,run_2,236,236,0.983051
metabench-gsm8k,chatgpt-instant,interface,run_2,236,236,0.932203
metabench-gsm8k,chatgpt-instant,api,run_3,235,235,0.987234
metabench-gsm8k,chatgpt-instant,interface,run_3,235,235,0.948936
metabench-gsm8k,chatgpt-instant,api,run_4,237,237,0.987342
metabench-gsm8k,chatgpt-instant,interface,run_4,237,237,0.915612
metabench-gsm8k,chatgpt-thinking,api,run_0,237,237,0.991561
metabench-gsm8k,chatgpt-thinking,interface,run_0,237,237,0.949367
metabench-gsm8k,chatgpt-thinking,api,run_1,237,237,0.991561
metabench-gsm8k,chatgpt-thinking,interface,run_1,237,237,0.978903
metabench-gsm8k,chatgpt-thinking,api,run_2,237,237,0.987342
metabench-gsm8k,chatgpt-thinking,interface,run_2,237,237,0.970464
metabench-gsm8k,chatgpt-thinking,api,run_3,236,236,0.995763
metabench-gsm8k,chatgpt-thinking,interface,run_3,236,236,0.940678
metabench-gsm8k,chatgpt-thinking,api,run_4,237,237,0.983122
metabench-gsm8k,chatgpt-thinking,interface,run_4,237,237,0.974684
metabench-gsm8k,claude-haiku,api,run_0,237,237,0.991561
metabench-gsm8k,claude-haiku,interface,run_0,237,237,0.983122
metabench-gsm8k,claude-haiku,api,run_1,237,237,0.991561
metabench-gsm8k,claude-haiku,interface,run_1,237,237,0.991561
metabench-gsm8k,claude-haiku,api,run_2,237,237,0.991561
metabench-gsm8k,claude-haiku,interface,run_2,237,237,0.974684
metabench-gsm8k,claude-haiku,api,run_3,237,237,0.987342
metabench-gsm8k,claude-haiku,interface,run_3,237,237,0.983122
metabench-gsm8k,claude-haiku,api,run_4,237,237,0.991561
metabench-gsm8k,claude-haiku,interface,run_4,237,237,0.974684
metabench-gsm8k,claude-opus,api,run_0,237,237,0.978903
metabench-gsm8k,claude-opus,interface,run_0,237,237,0.983122
metabench-gsm8k,claude-opus,api,run_1,237,237,0.978903
metabench-gsm8k,claude-opus,interface,run_1,237,237,0.983122
metabench-gsm8k,claude-opus,api,run_2,237,237,0.978903
metabench-gsm8k,claude-opus,interface,run_2,237,237,0.974684
metabench-gsm8k,claude-opus,api,run_3,237,237,0.978903
metabench-gsm8k,claude-opus,interface,run_3,237,237,0.978903
metabench-gsm8k,claude-opus,api,run_4,237,237,0.978903
metabench-gsm8k,claude-opus,interface,run_4,237,237,0.970464
metabench-gsm8k,claude-sonnet,api,run_0,237,237,0.991561
metabench-gsm8k,claude-sonnet,interface,run_0,237,237,0.978903
